Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	65935749-3351-4568-98c5-2890f5477697
Plate Name	MDAWT2H-2
Measurement	Measurement 1
Evaluation	Evaluation4
Population	Population - Cyto Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cyto Selected - Object No in Nuclei	Cyto Selected - nuclear_areainum2n Area [µm²]	Cyto Selected - Object No in Nuclei Selected	Cyto Selected - Cytoplasm_areaum2 Area [µm²]	Cyto Selected - Intensity Nucleus Alexa 488 Mean	Cyto Selected - Intensity Nucleus Alexa 555 Mean	Cyto Selected - Intensity Cytoplasm Alexa 488 Mean	Cyto Selected - Intensity Cytoplasm Alexa 555 Mean	Cyto Selected - Total Spot Area	Cyto Selected - Relative Spot Intensity	Cyto Selected - Number of Spots	Cyto Selected - Number of Spots per Area of Cytoplasm	Cyto Selected - Spots Area [µm²]	Cyto Selected - Formula	
5	3	0	19	4	436	110	[410,89,453,136]	-709.86	-1682.11					4	199.054	4	215.88	4737.65	2157.17	3791.5	2244.54	249	0.0650493	8	0.013267	89.1446	1.15342	
5	3	0	19	5	968	388	[949,360,988,413]	-388.44	-1846.6					5	214.09	5	309.321	7347.2	2513.47	4401.06	2265.36	192	0.0445371	3	0.00347222	68.738	0.620715	
5	3	0	19	6	78	1000	[38,975,107,1028]	-923.33	-2212.51					6	218.744	6	582.125	5397.46	2215.34	3745.08	2081.69	283	0.0517501	8	0.00492005	101.317	0.48615	
5	3	0	5	1	468	44	[453,20,481,68]	1249.15	295.23					1	130.674	1	245.595	5967.73	2179.4	2997.59	1875.39	72	0.02381	1	0.00145773	25.7767	0.293165	
5	3	0	5	2	824	63	[802,48,842,78]	1461.5	284.67					2	104.897	2	216.954	8577.53	2851.7	4873.78	2125.82	120	0.0653086	2	0.00330033	42.9612	0.553112	
5	3	0	5	3	95	102	[70,69,125,129]	1026.63	263.15					3	169.339	3	485.462	3981.73	1992.01	2844.96	1783.01	59	0.00778808	1	0.000737463	21.1226	0.121534	
5	3	0	5	4	244	119	[217,102,261,148]	1112.29	247.39					4	142.488	4	306.099	5407.45	2092.92	3071.23	2028.41	206	0.0465154	3	0.00350877	73.7501	0.672985	
5	3	0	5	5	427	114	[375,48,455,159]	1219.44	261.15					5	139.624	5	456.821	3856.48	1947.83	2405.89	1795.49	152	0.0236817	3	0.0023511	54.4176	0.332734	
5	3	0	5	6	726	184	[700,172,754,198]	1405.36	212.04					6	132.464	6	250.249	5669.81	2234.23	3034.87	1811.1	0	0	0	0	0	0	
5	3	0	5	7	141	239	[125,126,199,265]	1065.55	203.98					7	154.302	7	783.327	3400.15	1911.29	2548.8	1745.3	0	0	0	0	0	0	
5	3	0	5	8	458	253	[436,232,477,274]	1242.84	170.25					8	155.376	8	286.766	6040.31	2395.04	3275.65	1897.44	145	0.0389882	3	0.00374532	51.9115	0.505638	
5	3	0	5	9	925	347	[907,329,946,370]	1523.05	113.35					9	113.489	9	289.988	7702.83	2911.03	3673.08	2108.33	134	0.0577129	4	0.00493827	47.9734	0.462088	
5	3	0	5	10	554	367	[531,347,575,387]	1299.52	101.82					10	122.082	10	294.284	5921.52	2486.16	3148.75	1907.46	0	0	0	0	0	0	
5	3	0	5	11	601	466	[573,449,621,490]	1327.92	43.61					11	130.674	11	335.456	4208.61	2142.67	2521.31	1804.38	82	0.0193641	3	0.00320171	29.3568	0.244444	
5	3	0	5	12	523	527	[497,503,542,544]	1281.03	9.08					12	146.784	12	242.731	7618.51	2899.3	3734.12	2107.89	42	0.0179919	1	0.00147493	15.0364	0.173031	
5	3	0	5	13	787	529	[769,514,804,544]	1439.84	6.29					13	154.66	13	122.082	5222.19	2266.47	2591.44	1778.44	0	0	0	0	0	0	
5	3	0	5	14	689	769	[668,753,717,788]	1382.74	-136.37					14	150.006	14	244.879	5018.96	2207.4	3136.57	1964.25	170	0.0540009	1	0.00146199	60.8618	0.69422	
5	3	0	5	15	669	790	[655,776,685,804]	1369.45	-149.67					15	109.551	15	115.637	7818.68	2833.73	4002.01	2245.42	94	0.0815227	2	0.00619195	33.653	0.812886	
5	3	0	5	16	774	866	[752,844,789,883]	1431.67	-195.56					16	124.23	16	170.771	6821.33	2690.14	4321	2220.68	112	0.145796	2	0.00419287	40.0972	0.655849	
5	3	0	5	17	774	922	[761,909,791,936]	1433.07	-229.26					17	89.5026	17	144.994	8949.03	3234.68	4871.54	2271.53	66	0.0515413	2	0.00493827	23.6287	0.455191	
5	3	0	5	18	753	935	[739,921,774,954]	1420.69	-238.19					18	118.859	18	156.451	7843.32	2922.05	4117.74	2222.7	107	0.080737	2	0.00457666	38.3071	0.683922	
